NAME	X	Y
Parking_6010	1063393.20800000000	1068630.93400000000
Parking_6060	1066272.24900000000	1061165.28000000000
Parking_608	1069919.31800000000	1073981.85900000000
Parking_615	1071409.92100000000	1073791.24500000000
Parking_6192	1065283.76100000000	1061315.64100000000
Parking_6220	1068386.04700000000	1059600.25900000000
Parking_6222	1068219.96700000000	1060397.47000000000
Parking_6224	1066425.10300000000	1060003.21600000000
Parking_6258	1069394.63400000000	1060912.13800000000
Parking_6258-2	1069277.59600000000	1061287.73800000000
Parking_6286	1066874.17000000000	1059107.87700000000
Parking_6293	1068412.63900000000	1060481.93400000000
Parking_6339	1069157.35500000000	1058622.53000000000
Parking_6394	1065589.16200000000	1058561.06600000000
Parking_6406	1063625.56100000000	1061044.88400000000
Parking_6412-1	1065844.54100000000	1058907.23000000000
Parking_6425	1067767.02700000000	1061316.72700000000
Parking_6427	1067652.35400000000	1061654.15300000000
Parking_6442	1068968.50800000000	1060079.08800000000
Parking_6449	1063849.58900000000	1059951.40600000000
Parking_6464	1069518.90000000000	1058097.06800000000
Parking_6466	1069795.07100000000	1058086.44800000000
Parking_6466-1	1069765.83700000000	1058816.32600000000
Parking_6484-1	1065440.31200000000	1059725.69500000000
Parking_6490	1069431.71300000000	1060051.60700000000
Parking_6509	1070355.53300000000	1059094.96400000000
Parking_6509-1	1070383.16900000000	1059658.41400000000
Parking_6511	1069210.69600000000	1060255.57200000000
Parking_6582	1069958.28600000000	1062441.98800000000
Parking_6618	1069221.35200000000	1058966.91500000000
Parking_6653-1	1066756.96100000000	1060672.90800000000
Parking_6671	1064502.02600000000	1056590.44000000000
Parking_6709	1063918.26600000000	1060175.73300000000
Parking_6774b-2	1067560.43100000000	1053849.92300000000
Parking_6774b-3	1067262.94700000000	1053736.13900000000
Parking_6774b-4	1067007.48200000000	1053389.41800000000
Parking_6774b-5	1067821.78600000000	1053384.94500000000
