                0            1     2     3     4     5     6     7     8     9
283   1071543.792  1051866.678  36.0  59.0  48.0  59.0  11.0  86.0  18.0  64.0
284   1071544.444  1053165.906   6.0  85.0   2.0  61.0  26.0  94.0  32.0   8.0
285   1071549.772  1051741.534  36.0  59.0  48.0  59.0  11.0  86.0  16.0  64.0
286   1071556.432  1053931.301   6.0   2.0  31.0  61.0  12.0  88.0  32.0  79.0
287   1071565.558  1055165.236  34.0  27.0  31.0  54.0  12.0  27.0  47.0  40.0
288   1071577.682  1051493.261  36.0  59.0  48.0  59.0  11.0  86.0  16.0  30.0
289   1071579.444  1053140.906   6.0  85.0   2.0  61.0  26.0  94.0  32.0   8.0
290   1071583.563  1050145.840  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
291   1071594.929  1050415.668  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
292   1071596.504  1054281.359  34.0  99.0  31.0  24.0  12.0  88.0  32.0  47.0
293   1071608.840  1055499.822  34.0  27.0  20.0  54.0  39.0  27.0  47.0  10.0
294   1071617.565  1056120.687   0.0  57.0  20.0  67.0  39.0  98.0  47.0  10.0
295   1071618.664  1051261.479  44.0  59.0  48.0  59.0  11.0  86.0  39.0  30.0
296   1071619.002  1055798.157   0.0  27.0  20.0  67.0  39.0  27.0  47.0  10.0
297   1071625.795  1049944.392  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
298   1071629.929  1050390.668  44.0  40.0  32.0  11.0  41.0  11.0  39.0  98.0
299   1071631.242  1054932.595  34.0  27.0  31.0  54.0  12.0  27.0  47.0  47.0
